Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C101, C2, C4",0603,4,.1uF,
C5,0603,1,10uF,
C6,0603,1,1uF,
"D101, D102, D103, D104, D105, D106, D107, D108, D109, D110, D111, D112, D113, D114, D115, D116, D117, D118",SOT-23,18,BAV70,
F101,0603,1,700mA,
L101,0603,1,600R@100MHz,
"MX1, MX10, MX11, MX12, MX13, MX15, MX16, MX17, MX18, MX2, MX20, MX21, MX22, MX23, MX24, MX25, MX27, MX28, MX29, MX3, MX30, MX32, MX33, MX34, MX35, MX36, MX37, MX38, MX4, MX5, MX6, MX7, MX8, MX9",MXOnly-1U-NoLED,34,MX-NoLED,
MX19,MXOnly-2.25U-ReversedStabilizers-NoLED,1,MX-NoLED,
MX26,MXOnly-2U-ReversedStabilizers-NoLED,1,MX-NoLED,
"R101, R102",0603,2,5.1k,
"R2, R3",0603,2,22,
"R4, R5",0603,2,10k,
SW1,SW_SPST_TL3342,1,SW_Push,
U101,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
U102,SOT-143,1,PRTR5V0U2X,
USB101,HRO-TYPE-C-31-M-12-Assembly,1,HRO-TYPE-C-31-M-12,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm_HandSoldering,1,16MHz,
